nr,item,descricao,infracao,tipo,categoria
NR 01,1.5.3.1,Deixar de elaborar ou de implementar o PGR,I4,S,Gerenciamento de Riscos
NR 01,1.5.4.4.2,Não contemplar medidas de prevenção conforme classificação de riscos no PGR,I3,S,PGR
NR 01,1.5.5.1.1,Não realizar o acompanhamento das medidas de prevenção do PGR,I3,S,PGR
NR 01,1.5.7.1,Não manter o inventário de riscos ocupacionais atualizado,I3,S,Documentação
NR 01,1.5.7.2,Não manter o plano de ação do PGR atualizado,I3,S,Documentação
NR 01,1.7.1,Não prestar informações sobre os riscos aos trabalhadores ou deixar de emitir ordens de serviço,I2,S,Treinamento / Informação
NR 04,4.3.1,Não constituir ou manter em funcionamento o SESMT quando obrigatório,I4,S,SESMT
NR 04,4.4.1,Dimensionamento do SESMT em desacordo com os quadros da norma,I3,S,SESMT
NR 04,4.5.1,Profissionais do SESMT exercendo outras atividades durante o horário de atuação,I3,S,SESMT
NR 05,5.3.1,Não constituir CIPA ou não designar responsável conforme dimensionamento,I3,S,CIPA
NR 05,5.7.1,Deixar de realizar o treinamento obrigatório da CIPA para titulares/suplentes,I3,S,Treinamento
NR 05,5.8.1,Não realizar reuniões ordinárias mensais da CIPA,I2,S,CIPA
NR 06,6.3.1,Não fornecer aos empregados gratuitamente EPI adequado ao risco,I4,S,EPI
NR 06,6.5.1,Fornecer EPI sem Certificado de Aprovação (CA) válido expedido pelo órgão competente,I3,S,EPI
NR 06,6.5.2,Não exigir o uso efetivo dos equipamentos de proteção individual,I3,S,EPI
NR 06,6.5.2.c,"Não orientar e treinar o empregado sobre o uso adequado, guarda e conservação do EPI",I3,S,Treinamento
NR 06,6.5.2.e,Não substituir imediatamente o EPI quando danificado ou extraviado,I3,S,EPI
NR 06,6.5.2.f,Não registrar o fornecimento de EPI ao empregado por meio físico ou eletrônico,I2,S,Documentação
NR 07,7.5.1,Deixar de elaborar e implementar o Programa de Controle Médico de Saúde Ocupacional (PCMSO),I3,M,PCMSO
NR 07,7.5.6,Deixar de realizar exame médico admissional antes de o empregado assumir atividades,I3,M,Exames Médicos
NR 07,7.5.8,Não realizar o exame médico periódico dentro do prazo regulamentar,I2,M,Exames Médicos
NR 07,7.5.9,Não realizar exame médico de retorno ao trabalho antes da volta às funções,I2,M,Exames Médicos
NR 07,7.5.10,Não realizar exame médico de mudança de riscos ocupacionais,I2,M,Exames Médicos
NR 07,7.5.11,Deixar de realizar exame médico demissional até 10 dias após rescisão,I2,M,Exames Médicos
NR 07,7.6.1,Não emitir o Atestado de Saúde Ocupacional (ASO) em 2 vias para cada exame,I2,M,Documentação
NR 09,9.4.1,Não realizar a identificação das exposições ocupacionais aos agentes ambientais,I3,S,Higiene Ocupacional
NR 09,9.5.1,Deixar de realizar avaliação quantitativa das exposições quando aplicável,I3,S,Higiene Ocupacional
NR 09,9.6.1,Não adotar medidas preventivas ou corretivas ao atingir o nível de ação,I3,S,Prevenção
NR 10,10.2.1,Não adotar medidas preventivas de controle do risco elétrico nos projetos,I3,S,Instalações Elétricas
NR 10,10.2.8.1,Não priorizar medidas de proteção coletiva em instalações elétricas (desenergização/tensão de segurança),I4,S,Proteção Coletiva
NR 10,10.2.8.2,"Falta de adoção de isolamento, barreiras ou sinalização em circuitos com tensão",I3,S,Proteção Elétrica
NR 10,10.3.9,Circuitos elétricos com dispositivos de proteção superdimensionados ou improvisados,I3,S,Instalações Elétricas
NR 10,10.7.1,"Trabalhadores intervindo em alta tensão sem habilitação, capacitação ou autorização",I4,S,Capacitação / SEP
NR 10,10.8.8,Permitir que trabalhadores não autorizados ou sem treinamento intervenham em instalações elétricas,I4,S,Capacitação
NR 11,11.1.3,"Equipamentos de transporte motorizados sem buzina, luz ou espelhos",I2,S,Máquinas / Veículos
NR 11,11.1.5,"Operador de equipamento de movimentação (empilhadeira, ponte rolante) sem treinamento ou CNH",I3,S,Treinamento
NR 11,11.1.6,Equipamentos de guindar sem indicação visível de sua carga máxima de trabalho permitida,I2,S,Equipamentos
NR 11,11.2.2,"Armazenamento de material obstruindo portas, extintores ou saídas de emergência",I2,S,Armazenamento
NR 11,11.2.5,Empilhamento de materiais em pisos sem resistência mecânica adequada ou instáveis,I3,S,Armazenamento
NR 12,12.2.1,Máquinas sem espaçamento seguro entre si ou passagens desobstruídas,I2,S,Layout Industrial
NR 12,12.4.1,Dispositivos de partida e parada colocados em zona de perigo da máquina,I3,S,Comandos Elétricos
NR 12,12.5.1,Zonas de perigo de máquinas desprovidas de proteções físicas ou intertravamento,I4,S,Proteção Mecânica
NR 12,12.6.1,"Dispositivos de parada de emergência ausentes, inacessíveis ou inoperantes",I4,S,Emergência
NR 12,12.7.1,"Falta de sinalização de segurança, advertência ou perigo nas máquinas",I2,S,Sinalização
NR 12,12.11.1,Falta de procedimentos de manutenção preventiva ou bloqueio LOTO durante intervenções,I4,S,Manutenção e LOTO
NR 12,12.16.1,Operação de máquinas por colaboradores sem capacitação específica da NR 12,I3,S,Capacitação
